Root.MES.1	Root.MES.2	Root.MES.3	Root.ATP.1	Root.ATP.2	Root.ATP.3	ATP.raw.pvals.present	ATP.fdr.pvals.present
244959_s_at	8.68306011250672	8.31720964293481	8.92369168100067	8.55732848183416	7.38734656703452	8.19313273543206	0.223256465195488	0.499605608859911
244960_at	10.7854294707202	11.1798031867334	10.8181705563401	11.2058598064875	9.86257268761454	10.1006160112051	0.322507140640596	0.58757091677412
244961_at	12.586094446472	12.515805021009	11.916429419182	13.6499376912799	12.7885615968847	13.3634231066043	0.0501551539571104	0.312237735196967
244962_at	9.09058672448338	9.68674669421907	9.36547530962541	11.0213884917122	10.2370143986525	10.5239881961255	0.0156127019812427	0.273344360872482
244963_at	11.5207117266749	11.8942899063005	11.4605724517531	12.8527134741914	12.0523127849281	12.7770901688276	0.0468902634657554	0.31105416674962
244964_at	10.0364253119181	10.9034873360032	10.5666860908311	12.1367418256071	11.0769158434567	12.4059440639944	0.0562406618656185	0.320479221701051
244965_at	7.76743862571352	8.18333956894322	7.28696027777069	9.0025943679185	7.78360920051463	7.79414784650888	0.412766497038902	0.659439553331546
244966_at	4.98949242885469	6.40004950820667	5.29501213205894	6.51140186613587	6.970016103782	6.39030661511041	0.116912507370541	0.388694079101532
244967_at	10.049221709467	10.5161091581062	9.48499115255987	11.6316396897806	11.4004547939642	11.9220009679292	0.0168338438666593	0.274467461471407
244968_at	10.7715851467381	11.2282161241083	9.80462133894684	11.5622701390568	11.8608510639707	12.4149393239904	0.0643179358881315	0.330880721513591
244969_at	9.1352739342739	9.16777254956	8.84254703660738	9.23027963547074	8.67905816873939	9.10456030188659	0.835993739226656	0.924513584396394
244970_at	8.82018366077492	8.58833718089758	9.04692098565573	9.80623049047639	8.70186039719609	9.08691475957258	0.366125449194008	0.6223968919448
244971_at	13.0707057049965	13.214815422228	12.8965018762793	13.8944456670025	13.3746101673128	13.6571042780094	0.0395275114325268	0.303602958600889
244972_at	7.2158169301026	7.15151283141997	5.92570917767065	8.45984967674536	7.92320489030851	8.0509982827546	0.0664346441939315	0.334029469369544
244973_at	6.46719869302288	6.7113658604405	7.26872697383384	8.90455346205548	6.39850516615305	7.17656196509352	0.461813094387521	0.694344184935638
244974_at	7.69730698265357	8.0436794097833	7.39728641012968	8.38927550485823	7.96559433292248	8.22649259662011	0.108626403894243	0.379032208614044
