ID	logFC	P.Value
245172_at	-0.441176722	0.136627874
245173_at	0.450124347	0.080433264
245174_at	-1.24097997	0.009366047
245175_at	-0.478746586	0.001129858
245176_at	0.119163684	0.675616056
245177_at	-2.222264594	0.274794736
245178_at	0.154970719	0.317582093
245179_at	-0.103503136	0.502171393
245180_at	-0.45132158	0.015823167
245181_at	-0.224496657	0.560235387
245182_at	-0.418462573	0.093311144
245183_at	-0.293260771	0.030773973
245184_at	-0.36711861	0.83789747
245185_at	0.073029045	0.656211766
245186_at	-0.633140709	0.261185226
245187_s_at	-0.590159978	0.046616303
245188_at	0.346441971	0.08363711
245189_at	-1.122790726	0.287944302
245190_at	-0.000206325	0.998525049
245191_at	-0.276546646	0.732957755
245192_at	-2.995575409	0.072816407
245193_at	-0.139426151	0.506976488
245194_at	0.045513699	0.821244454
245195_at	1.475253807	0.027083164
245196_at	-0.526780109	0.24257882
245197_at	-0.345291054	0.330572367
245198_at	1.230096928	0.052330361
245199_at	-0.184992052	0.460078275
245200_at	-0.135138367	0.762362147
245201_at	0.063244255	0.871435614
245202_at	-0.115603421	0.20998964
245203_at	-0.109498635	0.821810474
245204_at	-0.455162709	0.69142474
245205_at	0.099307902	0.683873199
245206_at	-0.492498045	0.01141676
245207_at	-0.087661441	0.514614326
245208_at	-0.000343787	0.999360254
245209_at	-0.11551404	0.566500568
245210_at	-0.388385552	0.061504544
245211_at	-0.229617217	0.197374849
245212_at	0.907775289	0.269890718
245213_at	1.73802515	0.0456737
245214_at	-0.224656847	0.871771023
245215_at	0.912781885	0.158052239
245216_at	-0.30297364	0.02235103
245217_at	-1.011790886	0.144036388
245218_s_at	0.680144005	0.023265688
245219_at	0.935704557	0.01775498
245220_at	0.647683863	0.608304696
245221_s_at	0.04366631	0.975096175
245222_at	-0.059971121	0.911476359
245223_at	-0.667483898	0.523921873
245224_at	-1.592200056	0.229109834
245225_at	-1.076108323	0.475711268
245226_at	0.88015665	0.076308854
245227_s_at	-0.416334284	0.119419764
245228_at	0.013481385	0.963956138
245229_at	0.574153365	0.087444428
245230_at	0.156897734	0.756922896
245231_at	0.155042157	0.738142546
245232_at	-0.60839713	0.635563874
245233_at	0.192294848	0.283317603
245234_at	-0.128462139	0.381153173
245235_at	-0.055296096	0.741684645
245236_at	-0.183920278	0.277515398
245237_at	-0.502489169	0.109601583
245238_at	-0.135271199	0.120523399
245239_at	-0.499245342	0.271184435
245240_at	-0.001766561	0.998858791
245241_at	0.379713944	0.6634707
245242_at	0.495724291	0.018366255
245243_at	-0.029135879	0.892236498
245244_at	0.196291092	0.105979895
245245_at	-0.701328597	0.072882563
245246_at	-0.057638543	0.894760921
245247_at	0.415331092	0.134340721
245248_at	-0.242435597	0.480756979
245249_at	0.01325439	0.925926983
245250_at	0.263632299	0.284416355
245251_at	0.067874255	0.825391654
245252_at	-0.161174541	0.190335999
245253_at	-0.066976079	0.843862799
245254_at	-0.266008638	0.256132163
