GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
255819_s_at	P	P	P	P	P	P	P	P	P	P	P	P
255820_at	A	A	A	A	A	A	A	A	A	A	A	A
255821_at	P	P	P	P	P	P	P	P	P	P	P	P
255822_at	P	P	P	M	P	P	P	A	P	P	P	P
255823_at	A	A	M	A	A	A	A	A	P	A	A	A
255824_at	A	A	P	A	P	A	P	M	A	P	A	A
255825_at	P	P	P	M	A	A	A	P	P	A	A	P
255826_at	P	P	P	P	P	P	P	P	P	P	P	P
255827_at	P	P	P	P	P	P	P	P	P	P	P	P
255828_at	P	P	P	P	P	P	P	P	P	P	P	P
255829_at	P	P	P	P	P	P	P	P	P	P	P	P
255830_at	P	P	P	P	P	P	P	P	P	P	P	P
255831_at	A	A	A	A	A	A	A	A	A	A	A	A
255832_at	P	P	P	A	P	P	P	P	P	P	P	P
255833_at	P	P	P	P	P	P	P	P	P	P	P	P
255834_at	P	P	P	P	P	P	P	P	P	P	P	P
255835_at	A	A	A	A	A	A	A	A	A	A	A	A
255836_at	P	P	P	P	P	P	P	P	P	P	P	P
255837_at	P	P	P	P	P	P	P	P	P	P	P	P
255838_at	A	A	A	A	A	A	A	A	P	A	A	A
255839_at	P	A	A	A	A	P	P	A	A	M	A	A
255840_at	A	A	A	A	A	A	A	A	A	A	A	A
255841_at	A	A	A	A	A	A	A	A	A	A	A	A
255842_at	A	A	A	P	P	P	A	M	A	A	A	P
255843_at	A	M	A	A	A	A	A	A	P	P	A	A
255844_at	P	P	P	P	P	P	P	P	P	P	P	P
255845_at	P	P	P	P	P	P	P	P	P	P	P	P
255846_at	P	P	P	P	P	P	P	P	P	P	P	P
255847_at	A	A	A	A	A	A	A	A	A	A	A	A
255848_at	A	A	P	A	A	A	P	A	A	A	A	P
255849_at	A	A	A	A	A	A	A	A	A	A	A	A
255850_at	P	P	P	P	P	P	P	P	P	P	P	P
255851_at	P	M	M	A	A	P	P	P	M	P	P	P
255852_at	P	M	M	P	P	P	P	A	P	P	P	P
255853_at	A	A	A	A	A	A	A	A	P	A	A	A
255854_at	P	P	P	P	P	P	P	P	P	P	P	P
255855_at	P	A	P	A	P	A	P	A	M	P	P	P
255856_at	P	P	A	P	P	P	P	A	P	P	P	P
255857_at	P	P	P	P	P	P	P	P	P	P	P	P
255858_at	P	P	P	P	P	P	P	P	P	P	P	P
255859_at	P	P	P	P	P	P	P	P	P	P	P	P
255860_at	P	P	P	P	P	P	P	P	P	P	P	P
255861_at	A	A	A	A	A	A	A	A	A	A	A	A
255862_at	A	A	A	A	A	A	A	A	A	A	A	A
255863_s_at	A	A	A	A	A	A	A	A	A	A	A	A
255864_at	P	P	P	P	P	P	P	P	P	P	P	P
255865_at	P	P	P	P	P	P	P	P	P	P	P	P
255866_at	P	P	P	P	P	P	P	P	P	P	P	P
255867_at	A	A	A	A	A	A	A	A	A	A	A	A
255868_at	A	A	A	A	A	A	A	A	A	A	A	A
255869_at	P	P	P	P	P	P	P	P	P	P	P	P
255870_at	P	P	P	P	P	P	P	P	P	P	P	P
255871_at	P	P	P	P	P	P	P	P	P	P	P	P
255872_at	P	P	P	P	P	P	P	P	P	P	P	P
255873_at	P	P	P	P	P	P	P	P	P	P	P	P
255874_at	P	P	P	P	P	P	P	P	P	P	P	P
255875_s_at	A	A	A	A	A	A	A	A	A	A	A	A
255876_at	P	P	P	P	P	P	P	P	P	P	P	P
255877_at	P	P	P	A	P	P	P	A	P	M	A	P
255878_at	P	P	P	P	P	P	P	P	P	P	P	P
255879_at	A	A	A	A	A	A	A	A	A	A	A	A
255880_at	P	P	P	P	P	P	P	P	P	P	P	P
255881_at	P	P	P	P	P	P	P	P	P	P	P	P
255882_x_at	A	M	P	A	A	A	A	M	A	A	A	A
255883_at	P	P	P	P	P	P	P	P	P	P	P	P
255884_at	P	P	P	P	P	P	P	P	P	P	P	P
255885_at	P	P	P	P	P	P	P	P	P	P	P	P
255886_at	P	P	P	P	P	P	P	P	P	P	P	P
255887_at	P	P	P	P	P	P	P	P	P	P	P	P
255888_at	P	P	P	P	P	P	P	P	P	P	P	P
255889_at	P	P	P	P	P	P	P	P	P	P	P	P
255890_at	P	P	P	P	P	P	P	P	P	P	P	P
255891_at	P	P	P	P	P	P	P	P	P	P	P	P
255892_at	A	A	A	A	A	A	A	A	A	A	A	A
255893_at	P	P	P	M	P	P	P	P	P	P	P	P
255894_at	P	P	P	P	P	P	P	P	P	P	P	P
255895_at	P	P	P	P	P	P	P	P	P	P	P	P
255896_at	M	A	A	P	A	A	A	M	P	A	M	P
255897_at	A	A	A	A	A	A	A	A	A	A	A	A
255898_at	P	P	P	P	P	P	P	P	P	P	P	P
255899_at	P	P	P	P	P	P	P	P	P	P	P	P
255900_at	P	P	P	P	P	P	P	P	P	P	P	P
255901_at	P	P	P	P	P	P	P	P	P	P	P	P
255902_at	P	P	P	P	P	P	P	P	P	P	P	P
255903_at	A	A	P	A	P	A	A	A	A	A	A	P
255904_at	P	P	P	P	P	P	P	P	P	P	P	P
255905_at	A	A	A	A	A	A	P	A	A	A	A	A
255906_at	P	P	P	P	P	P	P	P	P	P	P	P
255907_at	A	P	A	A	A	A	M	A	A	A	A	A
255908_s_at	P	P	P	P	P	P	P	P	P	P	P	P
255909_at	P	P	P	P	P	A	P	P	P	P	P	P
255910_at	P	P	P	P	P	P	P	P	P	P	P	P
255911_at	A	A	P	A	A	A	A	A	M	P	A	M
255912_at	A	A	A	A	A	A	A	A	A	A	A	A
255913_at	A	A	A	P	M	P	P	A	A	A	A	A
255914_at	A	A	A	A	A	A	A	A	A	A	A	A
255915_at	A	A	A	A	A	A	A	A	A	A	A	A
255916_at	A	A	A	A	A	A	A	A	A	A	A	A
255917_at	A	A	A	A	A	A	A	A	A	A	A	A
255918_at	A	A	A	A	A	A	A	A	A	A	A	A
255919_at	A	A	A	A	A	A	A	A	A	A	A	A
255920_at	A	A	A	A	A	A	A	A	A	A	A	A
255921_at	A	P	A	A	A	A	P	A	A	M	A	A
255922_at	A	A	A	A	A	A	A	A	P	A	A	A
255923_at	P	P	P	P	P	P	P	P	P	P	P	P
255924_at	P	P	P	P	P	P	P	P	P	P	P	P
255925_at	P	P	P	P	P	P	P	P	P	P	P	P
255926_at	P	P	P	P	P	P	P	P	P	P	P	P
255927_at	A	A	A	A	A	A	A	A	A	A	A	A
255928_at	P	P	P	P	P	P	P	P	P	P	P	P
255929_at	P	P	P	P	P	P	P	P	P	P	P	P
255930_at	A	A	A	A	A	A	A	A	A	A	A	A
255931_at	P	P	P	P	P	P	P	P	P	P	P	P
255932_at	A	A	A	A	A	A	A	A	A	A	A	A
255933_at	P	P	P	P	P	P	P	P	P	P	P	P
255934_at	A	P	A	A	P	A	A	A	P	A	A	P
255935_at	A	A	A	A	A	A	A	A	A	A	P	A
255936_at	P	P	P	P	P	P	P	P	P	P	P	P
255937_at	A	M	P	A	P	M	A	P	P	M	P	P
255938_at	A	P	P	M	P	A	P	P	P	A	P	P
255939_at	P	P	P	P	M	P	P	P	P	P	P	P
255940_at	P	P	P	P	P	P	P	P	P	P	P	P
255941_at	A	A	A	A	A	P	P	A	A	A	A	P
255942_at	P	P	P	P	P	P	P	P	P	P	P	P
255943_at	A	A	A	P	A	M	A	A	A	A	A	A
255944_at	A	A	A	A	A	A	A	A	A	A	A	A
255945_at	P	P	P	P	P	P	P	P	P	P	P	P
255946_at	P	P	P	P	P	P	P	P	P	P	P	P
255947_at	P	P	P	P	P	P	P	P	P	P	P	P
255948_at	P	P	P	P	P	P	P	P	P	P	P	P
255949_at	A	A	A	A	A	A	A	A	A	A	A	A
255950_at	P	P	P	P	P	P	P	P	P	P	P	P
255951_at	P	P	P	P	P	P	P	P	P	P	P	P
255952_at	A	A	A	A	A	A	A	A	A	A	A	A
255953_at	P	P	P	P	P	P	P	P	P	P	P	P
255954_at	A	A	A	A	A	A	A	A	A	A	A	A
255955_at	P	P	P	P	P	P	P	P	P	P	P	P
255956_at	A	A	A	A	A	A	A	A	A	A	A	A
255957_at	A	P	A	P	P	P	M	A	P	A	A	P
255958_at	A	A	A	A	A	A	A	A	A	A	A	A
255959_at	P	P	P	P	P	P	P	P	P	P	P	P
255960_at	P	P	P	P	P	P	P	P	P	P	P	P
255961_at	A	A	A	A	A	A	A	A	A	A	A	A
255962_at	P	P	P	P	P	P	P	P	P	P	P	P
255963_at	P	P	P	P	P	P	P	P	P	P	P	P
255964_at	P	P	M	A	P	A	A	A	A	A	M	A
255965_at	A	A	A	A	A	A	P	A	M	A	A	A
255966_at	P	P	P	P	P	P	P	P	P	P	P	P
255967_at	P	P	P	P	P	P	P	P	P	P	P	P
255968_at	P	P	P	P	P	P	P	P	P	P	P	P
255969_at	P	P	P	P	P	P	P	P	P	P	P	P
255970_s_at	A	A	A	A	A	A	M	A	A	A	A	A
255971_at	A	A	A	A	A	A	A	A	A	A	A	A
255972_at	A	A	A	A	A	A	A	A	A	A	A	A
255973_at	P	M	A	P	P	A	A	P	P	M	P	P
255974_at	A	A	A	A	A	A	A	A	A	A	A	A
255975_at	A	A	A	A	A	A	A	A	A	A	A	A
255976_at	A	A	A	A	A	A	A	A	A	A	A	A
255977_at	P	P	P	P	P	P	P	P	P	P	P	P
255978_at	P	P	P	P	P	P	P	P	P	P	P	P
255979_at	P	P	P	P	P	P	P	P	P	P	P	P
255980_at	P	P	P	P	P	P	P	P	P	P	P	P
255981_at	P	P	P	P	P	P	P	P	P	P	P	P
255982_at	P	P	P	P	P	P	P	P	P	P	P	P
255983_at	P	P	P	P	P	P	P	P	P	P	P	P
255984_at	M	P	P	P	P	M	P	P	P	P	P	P
255985_at	P	P	P	P	P	P	P	P	P	P	P	P
255986_x_at	A	A	A	A	A	A	A	A	A	A	A	A
255987_s_at	A	A	A	A	A	A	A	A	A	A	A	A
255988_at	A	A	A	A	P	A	A	A	A	A	A	A
255989_at	A	A	A	A	A	A	A	A	A	A	A	A
255990_at	A	A	A	A	A	A	A	A	A	A	A	A
255991_at	P	P	P	P	P	P	P	P	P	P	P	P
255992_at	P	P	P	P	P	P	P	P	P	P	P	P
255993_at	A	A	A	A	A	A	A	A	A	A	A	A
255994_at	P	P	P	P	P	P	P	P	P	P	P	P
255995_at	P	P	P	P	P	P	P	P	P	P	P	P
255996_s_at	A	A	A	A	A	A	A	A	A	A	A	A
255997_s_at	P	P	P	P	P	P	P	P	P	P	P	P
255998_at	A	A	A	A	A	A	A	A	A	A	A	A
255999_at	A	A	A	M	A	A	P	A	A	A	A	A
256000_at	P	P	P	P	P	P	P	P	P	P	P	P
256001_at	P	P	P	P	P	P	P	P	P	P	P	P
256002_at	P	P	P	P	P	P	P	P	P	P	P	P
256003_at	A	A	A	A	A	A	A	A	A	A	A	A
256004_at	A	A	A	A	A	A	A	A	A	A	A	A
256005_at	A	A	A	A	A	A	A	A	A	A	A	A
256006_at	A	A	A	A	A	A	A	A	A	A	A	A
256007_at	P	P	P	P	P	P	P	P	P	P	P	P
256008_s_at	P	P	P	P	P	P	P	P	P	P	P	P
256009_at	P	P	P	P	P	P	P	P	P	P	P	P
256010_at	P	P	P	P	P	P	P	P	P	P	P	P
256011_at	P	P	P	P	P	P	P	P	P	P	P	P
256012_at	A	P	P	A	P	A	A	P	P	P	P	P
256013_at	P	P	P	P	P	P	P	P	P	P	P	P
256014_at	P	P	P	P	P	P	P	P	P	P	P	P
256015_at	P	P	P	P	P	P	P	P	P	P	P	P
256016_at	P	P	P	P	P	P	P	P	P	P	P	P
256017_at	P	P	P	P	P	P	P	P	P	P	P	P
256018_at	A	A	A	A	A	A	A	A	A	A	A	A
256019_at	A	A	A	A	A	A	A	A	A	A	A	A
256020_at	P	P	P	P	P	P	P	P	P	P	P	P
256021_at	P	P	P	P	P	P	P	P	P	P	P	P
256022_at	P	P	P	P	P	P	P	P	P	P	P	P
256023_at	A	A	A	A	A	A	A	A	A	A	A	A
256024_at	P	P	P	P	P	P	P	P	P	P	P	P
256025_at	P	P	P	P	P	P	P	P	P	P	P	P
256026_at	A	A	A	A	A	A	A	A	A	A	A	A
256027_at	P	A	P	P	P	P	P	P	P	P	P	P
256028_at	A	A	A	A	A	A	A	A	A	A	A	A
256029_at	P	P	P	P	P	P	P	P	P	P	P	P
256030_at	P	P	P	P	P	P	P	P	P	P	P	P
256031_at	A	A	A	A	A	A	A	A	A	A	A	A
256032_at	A	A	A	A	A	A	A	A	A	A	A	A
256033_at	P	P	P	P	P	P	P	P	P	P	P	P
256034_at	P	P	P	P	P	P	P	P	P	P	P	P
256035_at	P	P	P	P	P	P	P	P	P	P	P	P
256036_at	P	P	P	P	P	P	P	P	P	P	P	P
256037_at	A	A	A	A	A	A	A	A	A	A	A	A
256038_at	P	P	P	P	P	P	P	P	P	P	P	P
256039_at	A	A	A	P	A	A	A	P	P	A	A	P
256040_at	A	P	A	A	A	A	M	P	P	P	P	P
256041_at	P	P	P	P	P	P	P	P	P	P	P	P
256042_at	P	P	P	P	P	P	P	P	P	P	P	P
256043_at	P	P	P	P	P	P	P	P	P	P	P	P
256044_at	A	A	A	P	A	A	P	A	P	A	A	M
256045_at	P	P	P	P	P	P	P	P	P	P	P	P
256046_at	P	P	P	P	P	P	P	P	P	P	P	P
256047_at	A	A	A	A	A	A	A	A	A	A	A	A
256048_at	A	A	A	A	A	A	A	A	A	A	A	A
256049_at	P	P	P	P	P	P	P	P	P	P	P	P
256050_at	P	P	P	P	P	P	P	P	P	P	P	P
256051_at	A	A	A	A	A	A	A	A	A	A	A	A
256052_at	P	P	P	P	P	P	P	P	P	P	P	P
256053_at	P	P	P	P	P	P	P	P	P	P	P	P
256054_at	A	A	A	A	A	A	A	A	A	A	A	A
256055_at	P	P	P	P	P	P	P	P	P	P	P	P
256056_at	A	A	A	A	A	A	A	A	A	A	A	A
256057_at	A	A	A	P	P	P	P	M	P	P	P	P
256058_at	P	P	P	P	P	P	P	P	P	P	P	P
256059_at	A	A	A	A	A	A	A	A	A	A	A	A
256060_at	A	A	A	A	A	A	A	A	A	A	A	A
256061_at	P	P	P	P	P	P	P	P	P	P	P	P
256062_at	P	P	P	P	P	P	P	P	P	P	P	P
256063_at	P	P	P	P	P	P	P	P	P	P	P	P
256064_at	P	P	P	P	P	P	P	P	P	P	P	P
256065_at	P	P	P	P	P	P	P	P	P	P	P	P
256066_at	A	A	A	A	A	A	A	A	A	A	A	A
256067_at	P	P	P	P	P	P	P	P	P	P	P	P
256068_at	P	P	P	P	P	P	P	P	P	P	P	P
256069_at	P	P	P	P	P	P	P	P	P	P	P	P
256070_at	P	P	P	P	P	P	P	P	P	P	P	P
256071_at	P	P	P	P	P	P	P	P	P	P	P	P
256072_at	P	P	P	P	P	P	P	P	P	P	P	P
256073_at	P	P	P	P	P	P	P	P	P	P	P	P
256074_at	P	P	P	P	P	P	P	P	P	P	P	P
256075_at	P	P	P	P	P	P	P	P	P	P	P	P
256076_at	P	P	P	P	P	P	P	P	P	P	P	P
256077_at	P	P	P	P	P	P	P	P	P	P	P	P
256078_at	P	P	P	P	P	P	P	P	P	P	P	P
256079_at	A	A	A	A	A	A	A	A	A	A	A	A
256080_at	A	A	A	P	P	P	A	A	A	A	P	A
256081_at	P	P	P	P	P	P	P	P	P	P	P	P
256082_at	A	A	A	A	A	A	A	A	A	A	A	A
256083_at	A	A	A	A	A	A	A	A	A	A	A	A
256084_at	A	A	A	A	A	A	A	A	A	A	A	A
256085_at	P	P	P	P	P	P	P	P	P	P	P	P
256086_at	P	P	P	P	P	P	P	P	P	P	P	P
256087_at	A	P	A	P	A	A	A	A	P	A	A	M
256088_at	P	P	P	P	P	P	P	P	P	P	P	P
256089_at	P	P	P	P	P	P	P	P	P	P	P	P
256090_at	P	P	P	P	P	P	P	P	P	P	P	P
256091_at	P	P	P	P	P	P	P	P	P	P	P	P
256092_at	P	P	P	P	P	P	P	P	P	P	P	P
256093_at	P	P	P	P	P	P	P	P	P	P	P	P
256094_at	A	A	A	A	A	A	A	P	A	A	A	A
256095_at	A	A	A	A	A	A	A	A	A	A	A	A
256096_at	A	A	A	A	A	A	A	A	A	A	A	A
256097_at	P	P	P	P	P	P	P	P	P	P	P	P
256098_at	P	P	P	P	P	P	P	P	P	P	P	P
256099_at	A	A	A	M	P	P	M	A	A	A	P	M
256100_at	P	P	P	P	P	P	P	P	P	P	P	P
256101_at	A	A	A	A	A	A	A	A	A	A	A	A
256102_at	A	A	A	A	A	A	A	A	A	A	A	A
256103_at	A	A	A	A	A	A	A	A	A	A	A	A
256104_at	A	A	A	A	A	A	A	A	A	A	A	A
256105_at	A	A	A	A	A	A	A	A	A	P	A	P
256106_at	P	P	P	P	P	P	P	P	P	P	P	P
256107_at	A	A	P	A	A	A	A	A	M	M	A	A
256108_at	A	A	A	P	P	A	M	A	A	A	P	A
256109_at	A	A	A	A	A	A	A	A	A	A	A	A
256110_at	P	P	P	P	P	P	P	P	P	P	P	P
256111_at	P	A	M	M	P	M	M	A	P	P	P	P
256112_at	P	P	P	P	P	P	P	P	P	P	P	P
256113_at	P	P	P	P	P	P	P	P	P	P	P	P
256114_at	P	P	P	P	P	P	P	P	P	P	P	P
256115_at	P	P	P	P	P	P	P	P	P	P	P	P
256116_at	P	P	P	P	P	P	P	P	P	P	P	P
256117_at	P	P	P	P	P	P	P	P	P	P	P	P
256118_at	P	P	P	P	P	P	P	P	P	P	P	P
256119_at	P	P	P	P	P	P	P	P	P	P	P	P
256120_at	A	A	A	A	A	A	A	A	A	A	A	A
256121_at	P	P	P	P	P	P	P	P	P	P	P	P
256122_at	P	P	P	P	P	P	P	P	P	P	P	P
256123_at	P	P	P	P	P	P	P	P	P	P	P	P
256124_at	A	A	A	A	A	A	A	A	A	A	A	A
256125_at	P	P	P	P	P	P	P	P	P	P	P	P
256126_at	A	A	A	A	A	A	A	A	A	A	A	A
256127_at	P	P	P	P	P	P	P	P	M	P	P	P
256128_at	P	P	P	P	A	P	P	P	P	P	P	P
256129_at	P	P	P	P	P	P	P	P	P	P	P	P
256130_at	P	P	P	P	P	P	P	P	P	P	P	P
256131_at	P	P	P	P	P	P	P	P	P	P	P	P
256132_at	A	A	A	A	A	A	A	A	A	A	A	A
256133_at	P	P	P	P	P	P	P	P	P	P	P	P
256134_at	P	P	P	P	P	P	P	P	P	P	P	P
256135_at	A	A	A	A	A	A	A	A	A	A	A	A
256136_s_at	A	A	A	A	A	A	A	A	A	A	A	A
256137_at	P	P	P	P	P	M	P	P	P	P	P	P
256138_at	A	A	A	A	A	A	A	A	A	A	A	A
256139_at	A	A	A	A	A	A	A	A	A	A	A	A
256140_at	P	P	P	P	P	P	P	P	P	P	P	P
256141_at	A	A	A	P	A	A	A	P	M	A	A	P
256142_at	P	P	P	P	P	P	P	P	P	P	P	P
256143_at	P	P	P	P	P	P	P	P	P	P	P	P
256144_at	P	P	P	P	P	P	P	P	P	P	P	P
256145_at	P	P	P	P	P	P	P	P	P	P	P	P
256146_at	P	P	P	P	P	P	P	P	P	P	P	P
256147_at	P	P	P	P	P	P	P	P	P	P	P	P
256148_at	P	P	P	P	P	P	P	P	P	P	P	P
256149_at	P	P	P	P	P	P	P	P	P	P	P	P
256150_at	M	P	P	P	P	P	P	P	P	P	P	P
256151_at	P	P	P	P	P	P	P	P	P	P	P	P
256152_at	P	P	P	P	P	P	P	P	P	P	P	P
256153_at	A	A	A	A	A	A	A	A	A	A	A	A
256154_at	A	P	A	A	P	A	A	P	M	A	A	A
256155_at	A	A	A	A	A	A	A	A	A	A	A	A
256156_at	P	P	P	P	P	P	P	P	P	P	P	P
256157_at	P	P	P	P	P	P	P	P	P	P	P	P
256158_at	P	P	P	P	P	P	P	P	P	P	P	P
256159_at	P	P	P	P	P	P	P	P	P	P	P	P
256160_at	P	P	P	P	P	P	P	P	P	P	P	P
256161_at	P	P	P	P	P	P	P	P	P	P	P	P
256162_at	P	P	P	P	P	P	P	P	P	P	P	P
256163_at	A	A	A	A	A	A	A	A	A	A	A	A
256164_at	A	A	A	A	A	A	A	A	A	A	A	A
256165_at	P	P	P	P	M	A	P	A	P	P	A	P
256166_at	A	P	P	P	M	P	P	P	P	P	P	P
256167_at	A	A	A	A	A	A	A	A	A	A	A	A
256168_at	P	P	P	P	P	P	P	M	P	P	P	P
256169_at	P	P	P	P	P	P	P	P	P	P	P	P
256170_at	P	P	P	P	P	P	P	P	P	P	P	P
256171_s_at	A	A	A	A	A	A	A	A	A	A	A	A
256172_at	P	P	P	P	P	P	P	P	P	P	P	P
256173_at	P	P	P	P	P	P	P	P	P	P	P	P
256174_at	P	P	P	P	P	P	P	P	P	P	P	P
256175_at	A	A	A	A	A	A	A	A	A	A	A	A
256176_at	A	A	P	A	A	A	A	A	A	A	A	A
256177_at	P	P	P	P	P	P	P	P	P	P	M	P
256178_s_at	P	P	P	P	P	P	P	P	P	P	P	P
256179_at	P	P	P	P	P	P	P	P	P	P	P	P
256180_at	A	A	A	A	A	A	M	A	A	A	A	A
256181_at	P	P	P	P	P	P	P	P	P	P	A	P
256182_at	P	P	P	P	P	P	P	P	P	P	P	P
256183_at	P	P	P	P	P	P	P	P	P	P	P	P
256184_at	P	P	P	P	P	P	P	P	P	P	P	P
256185_at	P	P	P	P	P	P	P	P	P	P	P	P
256186_at	P	P	P	P	P	P	P	P	P	P	P	P
256187_at	P	P	P	P	P	P	P	P	P	P	P	P
256188_at	A	A	A	A	A	A	A	A	P	A	A	A
256189_at	A	A	A	A	A	A	A	A	A	M	A	A
256190_at	A	A	A	A	A	A	A	A	A	A	A	A
256191_at	P	P	P	P	P	P	P	P	P	P	P	P
256192_at	P	P	P	P	P	P	P	P	P	P	P	P
256193_at	P	P	P	P	P	P	P	P	P	P	P	P
256194_at	A	A	A	A	A	A	A	A	A	A	A	A
256195_at	A	A	A	A	A	A	A	A	A	A	A	A
256196_at	A	A	A	A	A	A	A	A	A	A	A	A
256197_at	A	A	A	A	A	A	A	A	A	A	A	A
256198_at	P	P	P	P	P	P	P	P	P	P	P	P
256199_at	P	P	P	P	P	P	P	P	P	P	P	P
256200_at	A	A	A	A	A	A	A	A	A	A	A	A
256201_at	P	P	P	P	P	P	P	P	P	P	P	P
256202_s_at	A	A	A	A	A	A	A	A	A	A	A	A
256203_at	A	A	A	A	A	A	A	A	A	A	A	A
256204_at	A	P	P	P	P	P	P	P	P	P	P	P
256205_at	P	P	P	P	P	P	P	P	P	P	P	P
256206_at	M	P	P	A	M	A	P	M	M	P	P	M
256207_at	P	P	P	P	P	P	P	P	P	P	P	P
256208_at	A	A	A	A	A	A	A	A	A	A	A	A
256209_at	P	P	P	P	P	P	P	P	P	P	P	P
256210_at	A	A	A	M	P	A	P	M	P	P	A	M
256211_at	A	A	A	A	A	A	M	A	A	A	A	A
256212_at	M	P	P	P	P	P	P	P	P	P	P	P
256213_at	A	A	P	A	A	A	A	A	A	A	A	A
256214_x_at	A	A	A	A	A	A	A	A	A	A	A	A
256215_at	P	P	P	P	P	P	P	P	P	P	P	P
256216_at	P	P	P	P	P	P	P	P	P	P	P	P
256217_at	P	P	P	P	P	P	P	P	P	P	P	P
256218_at	A	A	A	A	A	A	A	P	M	P	A	P
256219_at	P	P	P	P	P	P	P	P	P	P	P	P
256220_at	P	P	P	P	P	P	P	P	P	P	P	P
256221_at	P	P	P	P	P	P	P	P	P	P	P	P
256222_at	P	P	P	P	P	P	P	P	P	P	P	P
256223_at	P	P	P	P	P	P	P	P	P	P	P	P
256224_at	P	P	P	P	P	P	P	P	P	P	P	P
256225_at	P	P	P	P	P	P	P	P	P	P	P	P
256226_at	P	P	P	P	P	P	P	P	P	P	P	P
256227_at	P	P	P	P	P	P	P	P	P	P	P	P
256228_at	P	P	P	P	P	P	P	P	P	P	P	P
256229_at	P	P	P	P	P	P	P	P	P	P	P	P
256230_at	P	P	P	P	P	P	P	P	P	P	P	P
256231_at	P	P	P	P	P	P	P	P	P	P	P	P
256232_at	P	P	P	P	P	P	P	P	P	P	P	P
256233_at	P	P	P	P	P	P	P	P	P	P	P	P
256234_at	P	P	P	P	P	P	P	P	P	P	P	P
256235_at	P	P	P	P	P	P	P	P	P	P	P	P
256236_at	P	P	P	P	P	P	P	P	P	P	P	P
256237_at	P	P	P	P	P	P	P	P	P	P	P	P
256238_at	P	P	P	P	P	P	P	P	P	P	P	P
256239_at	A	A	A	A	A	A	A	A	A	A	A	A
256240_at	P	P	P	P	P	P	P	P	P	P	P	P
256241_at	P	P	P	P	P	P	P	P	P	P	P	P
256242_at	P	P	P	P	P	P	P	P	P	P	P	P
256243_at	P	P	P	P	P	P	P	P	P	P	P	P
256244_at	P	P	P	P	P	P	P	P	P	P	P	P
256245_at	P	P	P	P	P	P	P	P	P	P	P	P
256246_at	P	P	P	P	P	P	P	P	P	P	P	P
256247_at	A	A	A	A	A	A	A	A	A	A	A	A
256248_at	A	A	A	M	A	M	A	P	A	A	A	P
256249_at	P	P	P	P	P	P	P	P	P	P	P	P
256250_at	P	P	P	P	P	P	P	P	P	P	P	P
256251_at	P	P	P	P	P	P	P	P	P	P	P	P
256252_at	P	P	P	P	P	P	P	P	P	P	P	P
256253_at	P	P	P	P	P	P	P	P	P	P	P	P
256254_at	P	P	P	P	P	P	P	P	P	P	P	P
256255_at	P	P	P	P	P	P	P	P	P	P	P	P
256256_at	P	P	P	P	P	P	P	P	P	P	P	P
256257_at	P	P	P	P	P	P	P	P	P	P	P	P
256258_at	P	P	P	P	P	P	P	P	P	P	P	P
256259_at	A	A	A	A	P	A	A	A	A	A	A	A
256260_at	A	A	A	A	A	A	A	A	A	A	A	A
256261_at	A	A	A	A	A	A	A	A	A	A	A	A
256262_at	P	P	P	P	P	P	P	P	P	P	P	P
256263_at	P	P	P	P	P	P	P	P	P	P	P	P
256264_at	P	P	P	P	P	P	P	P	P	P	P	P
256265_at	A	P	P	A	P	A	P	A	A	M	A	A
256266_at	P	P	P	P	P	P	P	P	P	P	P	P
256267_at	P	P	P	P	P	P	P	P	P	P	P	P
256268_at	P	P	P	P	P	P	P	P	P	P	P	P
256269_at	P	P	P	P	P	P	P	P	P	P	P	P
256270_at	P	P	P	P	P	P	P	P	P	P	P	P
256271_at	P	P	P	P	P	P	P	P	P	P	P	P
256272_at	P	P	P	P	P	P	P	P	P	P	P	P
256273_at	P	P	P	P	P	P	P	P	P	P	P	P
256274_at	P	P	P	P	P	P	P	P	P	P	P	P
256275_at	P	P	P	P	P	P	P	P	P	P	P	P
256276_at	P	P	P	P	P	P	P	P	P	P	P	P
256277_at	P	P	P	P	P	P	P	P	P	P	P	P
256278_at	P	P	P	P	P	P	P	P	P	P	P	P
256279_at	P	P	P	P	P	P	P	P	P	P	P	P
256280_at	P	P	P	P	P	P	P	P	P	P	P	P
256281_at	P	P	P	P	P	P	P	P	P	P	P	P
256282_at	P	P	P	A	P	P	P	P	P	P	P	P
256283_at	P	P	P	P	A	P	P	P	P	P	P	P
256284_at	P	P	P	P	P	P	P	P	P	P	P	P
256285_at	P	P	P	P	P	P	P	P	P	P	P	P
256286_at	P	P	P	P	P	P	P	P	P	P	P	P
256287_at	A	A	A	A	A	A	A	A	A	A	A	A
