GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
245092_at	P	P	P	P	P	P	P	P	P	P	P	P
245093_at	P	P	P	P	P	P	P	P	P	P	P	P
245094_at	P	P	P	P	P	P	P	P	P	P	P	P
245095_at	A	M	A	A	P	A	A	A	A	M	A	A
245096_at	P	P	P	P	P	P	P	P	P	P	P	P
245097_at	P	P	P	P	P	P	P	P	P	P	P	P
245098_at	P	P	P	P	P	P	P	P	P	P	P	P
245099_at	P	P	P	P	P	P	P	P	P	P	P	P
245100_at	P	P	P	P	P	P	P	P	P	P	P	P
245101_at	P	P	P	P	P	P	P	P	P	P	P	P
245102_at	A	A	A	A	A	A	A	A	A	A	A	A
245103_at	A	A	A	A	A	A	A	A	A	A	A	A
245104_at	P	P	P	P	P	P	P	P	P	P	P	P
245105_at	P	P	P	P	P	P	P	P	P	P	P	P
245106_at	P	P	P	P	P	P	P	P	P	P	P	P
245107_at	P	P	P	A	P	P	P	A	P	P	P	P
245108_at	A	A	A	A	A	A	A	A	A	A	A	A
245109_at	P	P	P	P	P	P	P	P	P	P	P	P
245110_at	M	A	P	P	P	A	P	P	P	P	A	P
245111_at	A	A	A	A	A	A	A	A	A	A	A	A
245112_at	P	P	P	P	P	P	P	P	P	P	P	P
245113_at	P	P	P	P	P	P	P	P	P	P	P	P
245114_at	P	P	P	P	P	P	P	P	P	P	P	P
245115_at	P	P	P	P	P	P	P	P	P	P	P	P
245116_at	P	P	P	P	P	P	P	P	P	P	P	P
245117_at	P	P	P	P	P	P	P	P	P	P	P	P
245118_at	P	P	P	P	P	P	P	P	P	P	P	P
245119_at	P	P	P	P	P	P	P	P	P	P	P	P
245120_at	P	P	P	P	P	P	P	P	P	P	P	P
245121_at	P	P	P	P	P	P	P	P	P	P	P	P
245122_at	P	P	P	P	P	P	P	P	P	P	P	P
245123_at	P	P	P	P	P	P	P	P	P	P	P	P
245124_at	P	P	P	P	P	P	P	P	P	P	P	P
245125_at	A	A	A	A	A	A	A	A	A	A	A	A
245126_at	P	P	P	P	P	P	P	P	P	P	P	P
245127_at	P	P	P	P	P	P	P	P	P	P	P	P
245128_at	A	A	A	M	A	P	A	A	A	A	A	A
245129_at	A	A	A	A	A	A	A	A	A	A	A	A
245130_at	P	P	P	P	P	P	P	P	P	A	M	P
245131_s_at	P	P	P	P	P	P	P	P	P	P	P	P
245132_at	P	P	P	P	P	P	P	P	P	P	P	P
245133_at	P	P	P	P	P	P	P	P	P	P	P	P
245134_s_at	P	P	P	P	P	P	P	P	P	P	P	P
245135_at	A	A	A	A	A	A	A	A	A	A	A	A
245136_at	P	P	P	P	P	P	P	P	P	P	P	P
245137_at	P	P	P	P	P	P	P	P	P	P	A	P
245138_at	P	P	A	P	P	P	P	A	A	P	P	P
245139_at	P	P	P	P	P	P	P	P	P	P	P	P
245140_at	P	P	P	P	P	P	A	P	P	M	M	P
245141_at	P	P	P	P	P	P	P	P	P	P	P	P
245142_at	A	A	P	P	P	M	P	M	P	M	A	P
245143_at	P	P	P	P	P	P	P	P	P	P	P	P
245144_at	P	P	P	P	P	P	P	P	P	P	P	P
245145_at	P	P	P	P	P	P	P	P	P	P	P	P
245146_at	P	P	P	P	P	P	P	P	P	P	P	P
245147_at	P	P	P	P	P	P	P	P	P	P	P	P
245148_at	P	P	P	P	P	P	P	P	P	P	P	P
245149_at	P	P	P	P	P	P	P	P	P	P	P	P
245150_at	P	P	P	P	P	P	P	P	P	P	P	P
245151_at	P	P	P	P	P	P	P	P	P	P	P	P
245152_at	P	P	P	P	P	P	P	P	P	P	P	P
245153_at	A	A	A	A	A	A	A	A	P	A	P	P
