Reporter Identifier	VALUE
AT1G06950_1	10879
AT1G06960_1	3457
AT1G06960_2	3087
AT1G06970_1	407
AT1G06980_1	447
AT1G06990_1	301
AT1G07000_1	2257
AT1G07010_1	230
AT1G07010_2	230
AT1G07010_3	59
AT1G07020_1	2948
AT1G07025_1	204
AT1G07030_1	4450
AT1G07040_1	4026
AT1G07050_1	115
AT1G07051_1	33
AT1G07060_1	160
AT1G07070_1	6444
AT1G07080_1	8621
AT1G07090_1	2219
AT1G07110_1	5439
AT1G07119_1	687
AT1G07120_1	965
AT1G07130_1	1039
AT1G07135_1	17655
AT1G07140_1	8786
AT1G07150_1	2130
AT1G07160_1	463
AT1G07170_1	468
AT1G07170_2	1158
AT1G07175_1	550
AT1G07180_1	340
AT1G07190_1	272
AT1G07200_1	4443
AT1G07200_2	3999
AT1G07210_1	4886
AT1G07220_1	6348
AT1G07230_1	2315
AT1G07240_1	6035
AT1G07250_1	4131
AT1G07260_1	7030
AT1G07270_1	376
AT1G07280_1	1236
AT1G07280_2	1221
AT1G07290_1	1649
AT1G07300_1	777
AT1G07310_1	6267
AT1G07320_1	2594
AT1G07320_3	2607
AT1G07330_1	257
AT1G07340_1	567
AT1G07350_1	8495
AT1G07350_2	1717
AT1G07360_1	13717
AT1G07370_1	8585
AT1G07380_1	5473
AT1G07390_1	684
AT1G07390_3	677
AT1G07400_1	932
AT1G07410_1	2361
AT1G07420_1	10409
AT1G07420_2	1361
AT1G07430_1	2787
AT1G07440_1	584
AT1G07440_2	246
AT1G07450_1	202
AT1G07460_1	151
AT1G07470_1	5930
AT1G07473_1	448
AT1G07476_1	361
AT1G07480_1	8692
AT1G07485_1	98
AT1G07490_1	453
AT1G07500_1	1568
AT1G07510_1	8540
AT1G07520_1	4320
AT1G07530_1	7112
AT1G07540_1	153
AT1G07550_1	107
AT1G07560_1	260
AT1G07570_1	1222
AT1G07570_2	1322
AT1G07590_1	483
AT1G07600_1	24538
AT1G07610_1	10991
AT1G07615_1	2602
AT1G07620_1	424
AT1G07630_1	4769
AT1G07640_1	6445
AT1G07640_2	6254
AT1G07640_3	3951
AT1G07645_1	774
AT1G07650_1	905
AT1G07660_1	10832
AT1G07660_2	5758
AT1G07670_1	12924
AT1G07680_1	81
AT1G07690_1	171
AT1G07700_1	756
AT1G07700_2	912
AT1G07700_3	281
AT1G07705_1	99
AT1G07705_2	3235
AT1G07710_1	3414
AT1G07720_1	1101
AT1G07725_1	365
AT1G07728_1	1453
AT1G07730_2	3169
AT1G07740_1	1509
AT1G07745_1	1302
AT1G07745_2	263
AT1G07747_1	84
AT1G07750_1	11647
AT1G07760_1	917
AT1G07770_1	13325
AT1G07770_2	14479
AT1G07780_1	5144
AT1G07780_2	5992
AT1G07780_3	6091
AT1G07780_4	3992
AT1G07790_1	9574
AT1G07795_1	369
AT1G07800_1	642
AT1G07810_1	11477
AT1G07820_1	2773
AT1G07820_2	11507
